id,name,rating,name,wine_id,winery_id,winery_name,price,acidity,fizziness,intensity,sweetness,tannin,style_id,style_name,style_varietal_name
145000393,Feudo di San Maurizio Grapillon Gewürztraminer 2015,4.1,Grapillon Gewürztraminer,1554672,40385,Feudo di San Maurizio,23.53,2.2755103,,3.267347,2.5,,87,Northern Italy Gewürztraminer,Gewürztraminer
141266021,Tenuta dell'Ugolino Vigneto del Balluccio Verdicchio dei Castelli di Jesi Classico Superiore 2015,3.9,Vigneto del Balluccio Verdicchio dei Castelli di Jesi Classico Superiore,1308201,53285,Tenuta dell'Ugolino,16.44,3.863835,,3.0863595,2.223641,,48,Central Italy White,White
143834289,Quarta Generazione Aglianico del Vulture 2013,4.1,Aglianico del Vulture,4470916,229100,Quarta Generazione,23.85,2.3464541,,4.783949,2.652484,2.9480255,208,Southern Italy Red,Red
14883378,Frascole Chianti Rufina 2015,3.7,Chianti Rufina,1165474,33136,Frascole,19.18,3.8727686,,3.0669067,1.5040367,3.6559026,69,Italian Chianti,Chianti
3091191,Cavalli San Ruffino Lambrusco dell'Emilia Frizzante,3.3,San Ruffino Lambrusco dell'Emilia Frizzante,1843536,23275,Cavalli,8.96,,,,,,,,
1512734,Aromo Casa Lo Matta Cabernet Sauvignon 2010,2.8,Casa Lo Matta Cabernet Sauvignon,42464,8674,Aromo,21.34,3.0873609,,4.2240276,1.5609721,3.3543751,34,Chilean Cabernet Sauvignon,Cabernet Sauvignon
2505878,De Bortoli DB Family Selection Traminer - Riesling 2012,3.5,DB Family Selection Traminer - Riesling,19059,2114,De Bortoli,23.71,,,,,,,,
145176845,3 Autores Vinho Verde Branco 2016,3.8,Vinho Verde Branco,4673105,253571,3 Autores,22.76,4.2823234,,1.4958531,1.3398236,,238,Portuguese Vinho Verde White,Vinho Verde White
155175181,Estrella de Pascua Merlot 2017,3.5,Merlot,3859864,207269,Estrella de Pascua,15.6,2.6711054,,3.2879999,1.8085788,2.5284736,113,Chilean Merlot,Merlot
163115971,Domaine Breton - Catherine & Pierre Breton Avis de Vin Fort 2019,3.9,Avis de Vin Fort,1380520,2352,Domaine Breton - Catherine & Pierre Breton,19.34,,,,,,,,
162069424,Man O' War Pinot Gris 2019,4.2,Pinot Gris,1125566,12443,Man O' War,22.88,2.6794686,,3.1152425,2.4618475,,150,New Zealand Pinot Gris,Pinot Gris
22138358,Bree Riesling 2014,3.7,Riesling,2573781,106102,Bree,23.71,4.573355,,2.9241858,2.5308566,,186,German Riesling,Riesling
1541508,Quady Electra White (California Moscato) 2011,4,Electra White (California Moscato),1277536,2725,Quady,22.76,,,,,,,,
1177441,Bodega Norton Barrel Select Malbec 2005,3.8,Barrel Select Malbec,1136013,5668,Bodega Norton,22.76,2.732736,,3.8431766,1.9676903,2.3810108,98,Argentinian Malbec,Malbec
9798037,Domaine de la Chevalerie Bretêche Bourgueil 2014,3.9,Bretêche Bourgueil,2535011,58233,Domaine de la Chevalerie,24.18,,,,,,,,
160584018,Cieck Misobolo Erbaluce di Caluso 2018,3.8,Misobolo Erbaluce di Caluso,2393542,11929,Cieck,22.08,3.3959608,,3.588948,2.3275878,,131,Northern Italy White,White
155730288,Vignalta Moscato L.H. 2016,4.3,Moscato L.H.,2008606,4083,Vignalta,23.05,,,,,,,,
111981555,Matteo Correggia Anthos 2015,3.6,Anthos,2099837,4299,Matteo Correggia,18.37,2.8956454,,3.624113,2.2790241,2.8916473,130,Northern Italy Red,Red
16575637,Il Verro Lautonis Casavecchia 2015,3.3,Lautonis Casavecchia,1752387,36990,Il Verro,19.02,2.6381943,,3.615324,1.71,2.99875,130,Northern Italy Red,Red
141510800,San Patrignano Ora 2016,3.5,Ora,1220462,5279,San Patrignano,16.28,2.7650554,,3.854822,1.8656335,3.1260762,130,Northern Italy Red,Red
