rating,price,acidity,intensity,fizziness,sweetness,tannin,style_varietal_name,type_name,type_id,keep
3.8,75.0,3.8524208,2.6039789,,1.3636913,2.3588047000000003,Côte de Beaune Red,Red,1,True
3.6,57.56,3.7135863,2.6259081,,1.6335173,2.0332644,Côte de Beaune Red,Red,1,True
4.0,62.73,3.978912600000001,2.480228,,1.613193,2.2956316,Côte de Beaune Red,Red,1,True
4.2,48.07,3.7855879999999997,2.465147,,1.5251472,1.8964704,Côte de Beaune Red,Red,1,True
3.8,62.37,,,,,,Côte de Beaune Red,Red,1,True
4.2,85.92,3.9247684,2.6981368,,1.6548927,2.303909,Côte de Beaune Red,Red,1,True
4.2,78.82,3.5920544000000003,2.4910786,,2.025411,2.1554453,Côte de Beaune Red,Red,1,True
4.1,61.25,3.7349102,2.6167936000000003,,1.626493,2.0689778000000003,Côte de Beaune Red,Red,1,True
3.9,37.23,3.9883037000000003,2.6091962000000004,,1.0,1.9885714,Côte de Beaune Red,Red,1,True
3.9,51.47,3.6775565,2.632115,,1.4367557,2.3085866000000004,Côte de Beaune Red,Red,1,True
4.3,125.46,3.9257529000000004,2.5254687999999996,,1.5173011,2.0504262,Côte de Beaune Red,Red,1,True
4.0,102.92,3.3222120000000004,3.5818345999999996,,1.6394786,,Côte de Beaune White,White,2,True
4.1,66.5,3.6724349999999997,2.55249,,1.4838576,2.3981667,Côte de Beaune Red,Red,1,True
3.5,0.0,3.632798,3.6568913,3.9851296,,,Champagne,Sparkling,3,True
4.2,96.41,4.110625,2.506375,,1.7391875,2.0605626,Côte de Beaune Red,Red,1,True
3.8,63.2,4.0828276,2.6814828,,1.3816206,2.2030344,Côte de Beaune Red,Red,1,True
4.0,51.94,4.0,2.5,,1.0,1.9673913,Côte de Beaune Red,Red,1,True
4.2,149.53,3.6900396,2.7234599999999998,,1.568047,2.3048474999999997,Côte de Beaune Red,Red,1,True
4.0,44.8,3.9081072999999997,2.6328075,,1.5202839,2.2056782000000004,Côte de Beaune Red,Red,1,True
4.1,109.63,3.841829,2.3738,,1.1248286,2.1680856,Côte de Beaune Red,Red,1,True
4.1,74.55,3.9950737999999997,2.5240364,,1.4750413,2.3240857000000004,Côte de Beaune Red,Red,1,True
4.0,63.27,3.9298906000000002,2.689343,,1.3458028999999998,2.095584,Côte de Beaune Red,Red,1,True
3.8,60.08,,,,,,Côte de Beaune Red,Red,1,True
4.1,48.55,3.921046,2.6567974,,1.6955554,2.1402614,Côte de Beaune Red,Red,1,True
4.3,46.54,3.7040458,2.5301362999999997,,1.1313635,2.2325454,Côte de Beaune Red,Red,1,True
3.9,34.74,4.0249386,2.9857316000000003,,1.704695,1.9339633000000005,Côte de Beaune Red,Red,1,True
4.0,58.0,3.88611,2.621934,,1.1942638,2.1917803,Côte de Beaune Red,Red,1,True
4.0,92.67,3.3471233999999996,3.8752873,,1.6346437,,Côte de Beaune White,White,2,True
4.0,103.87,3.8329506,2.563703,,1.3825148,2.2954257,Côte de Beaune Red,Red,1,True
4.3,72.38,3.8855104,2.520787,,1.6814576,2.1570263,Côte de Beaune Red,Red,1,True
4.2,56.01,3.8068326,2.7735786,,1.7270206000000001,2.4814215,Côte de Beaune Red,Red,1,True
4.0,39.93,3.7296428999999995,2.563961,,1.1145128999999998,2.1562338,Côte de Beaune Red,Red,1,True
4.2,206.19,3.9134557,2.5350785,,1.2356021000000001,2.1780630000000003,Côte de Beaune Red,Red,1,True
3.9,109.53,3.6670403,2.44256,,1.4240000000000002,2.1592,Côte de Beaune Red,Red,1,True
3.6,36.69,3.0998333,3.9111667000000003,,1.0116667,,Côte de Beaune White,White,2,True
4.4,51.66,3.8829377,2.5240626,,1.4126251,2.4108747999999998,Côte de Beaune Red,Red,1,True
4.1,90.36,3.796554,2.5099325,,1.3443242,2.3482432,Côte de Beaune Red,Red,1,True
4.3,123.75,3.148376,3.8109612,,1.7333547999999999,,Côte de Beaune White,White,2,True
3.7,108.85,3.826362,2.490269,,1.5475564,2.3702796000000004,Côte de Beaune Red,Red,1,True
4.1,66.56,3.9612818,2.42426,,1.5078881000000002,2.1100543,Côte de Beaune Red,Red,1,True
